annual_inc,emp_title,verification_status,address,application_type,dti,loan_amnt,installment,loan_status,pan_match,aadhaar_name_match,address_match,employer_match,salary_itr_match,bank_salary_match,metadata_suspicious,edited_in_photoshop,ocr_confidence,income_difference_pct,is_document_fraud
65000.0,Equipment operator 3,Not Verified,"Unit 8279 Box 1213
DPO AE 29597",INDIVIDUAL,24.98,10000.0,327.34,Fully Paid,1,1,1,1,1,1,0,0,83.79,29.76,0
42000.0,CNA Surety ,Source Verified,"USCGC Mendoza
FPO AP 48052",INDIVIDUAL,16.6,4000.0,134.99,Fully Paid,1,1,1,1,1,0,1,0,76.09,37.79,1
152000.0,director,Verified,"3876 Lucas Squares
North Kyle, KS 48052",INDIVIDUAL,20.94,35000.0,1262.88,Charged Off,1,1,1,1,1,1,0,0,98.15,6.45,0
36000.0,Clinical Data Abstractor,Not Verified,"08037 Nicholas Manors Suite 121
North Cory, AL 70466",INDIVIDUAL,35.97,8000.0,274.63,Charged Off,1,1,1,0,1,1,1,1,89.21,13.67,1
75000.0,machinist,Source Verified,"24793 Todd Rest Suite 398
West Nicholasberg, CT 48052",INDIVIDUAL,11.09,12500.0,316.47,Fully Paid,1,1,0,0,1,1,0,0,87.57,13.99,0
40000.0,Floor Installer,Source Verified,"206 Joyce Bypass Apt. 457
Lake Katrina, TN 00813",INDIVIDUAL,20.31,5000.0,164.81,Fully Paid,1,1,1,1,1,1,0,0,82.2,24.85,0
80000.0,GatewayEDI,Source Verified,"9289 Joel Trail Apt. 314
Christytown, NV 29597",INDIVIDUAL,11.51,9600.0,329.65,Fully Paid,1,1,1,0,1,1,1,0,79.89,6.36,0
65885.0,foodserver,Verified,"335 Shelley Walk
Port Garrett, CA 22690",INDIVIDUAL,27.18,23700.0,895.1,Fully Paid,0,1,1,1,1,0,0,0,75.39,4.75,0
69000.0,Assistant Principal,Verified,"4972 Cantu Street Apt. 765
Stewartchester, AK 29597",INDIVIDUAL,33.1,34475.0,894.12,Fully Paid,1,1,1,1,1,1,0,0,71.8,11.15,0
55000.0,Ophthalmic Technician,Not Verified,"9660 Mark Terrace Apt. 730
Raytown, OK 00813",INDIVIDUAL,3.43,6000.0,199.26,Fully Paid,1,1,0,1,0,1,0,0,89.03,28.02,0
122500.0,Pfizer,Verified,"04892 Anna Freeway Apt. 224
West Debbieton, NJ 30723",INDIVIDUAL,2.88,10000.0,325.74,Fully Paid,1,1,1,1,1,1,0,0,93.38,22.78,0
54000.0,LEAD ,Source Verified,"09132 Margaret Inlet
New Anthonyfort, NH 22690",INDIVIDUAL,17.24,6000.0,201.74,Charged Off,1,1,1,1,1,1,1,0,95.73,47.3,0
78000.0,"Grancell, Stander, Reubens, Thomas & Kin",Not Verified,"070 Park Canyon
Whiteport, MT 29597",INDIVIDUAL,14.68,12000.0,400.59,Fully Paid,1,0,1,1,1,1,0,0,91.73,25.04,0
40000.0,Title 1 Tutor,Source Verified,"9295 Margaret Forks Apt. 632
Lake Austin, CA 05113",INDIVIDUAL,5.8,14400.0,332.61,Fully Paid,1,1,1,1,1,1,1,0,96.91,21.7,0
225000.0,leam drilling systems,Verified,"09807 Fitzgerald Squares
North Patricia, IA 30723",INDIVIDUAL,5.87,28800.0,518.56,Charged Off,1,1,1,1,1,1,0,0,99.48,13.0,0
38626.0,GWIM SR OPS REP,Source Verified,"44437 Ford Gardens
Kimberlyberg, WY 93700",INDIVIDUAL,27.34,7525.0,262.01,Charged Off,1,1,0,1,1,1,0,0,98.85,8.07,0
89000.0,"Team Industrial, IN",Verified,"8505 Haney Park Suite 808
West Alison, AR 05113",INDIVIDUAL,21.03,25000.0,606.36,Fully Paid,1,1,1,1,1,1,0,0,87.77,11.05,0
48000.0,Office manager/staff accountant,Verified,"4463 Buck Stravenue Apt. 679
Wrightville, NH 48052",INDIVIDUAL,28.33,15000.0,379.76,Charged Off,1,1,1,1,1,1,0,0,76.73,7.88,0
81000.0,Sales,Source Verified,"14489 Elizabeth Points
East Katelyn, WY 05113",INDIVIDUAL,12.86,9700.0,334.55,Fully Paid,1,1,1,1,0,1,0,0,73.19,43.79,0
52000.0,HUMAN RESOURCES MANAGER,Not Verified,"Unit 1405 Box 2647
DPO AA 48052",INDIVIDUAL,24.53,20525.0,701.4,Fully Paid,1,1,1,0,1,1,0,0,99.82,35.83,0
100000.0,ARNP,Source Verified,"749 Wright Greens Apt. 819
West Carloshaven, OH 11650",INDIVIDUAL,15.8,20000.0,444.79,Charged Off,1,1,1,1,1,1,0,0,79.25,27.5,0
60000.0,Sr Recruiter,Source Verified,"64982 Brenda Knolls
North Mirandastad, NC 29597",INDIVIDUAL,5.88,7000.0,249.54,Fully Paid,1,1,1,1,1,1,0,0,71.02,,1
90000.0,Vermont Agency of Education,Verified,"34981 David Trafficway
North Austin, OK 00813",INDIVIDUAL,15.79,35000.0,1227.05,Fully Paid,1,1,1,0,1,1,0,0,81.73,22.1,0
39350.0,Realtor,Not Verified,"5126 Morgan Isle Suite 787
Lake Candice, MI 93700",INDIVIDUAL,3.02,9000.0,300.61,Charged Off,0,1,1,1,1,1,0,0,92.44,,0
62000.0,Bioquell Inc,Source Verified,"30456 Silva Walk Suite 318
South Tammy, UT 29597",INDIVIDUAL,4.49,12000.0,373.33,Fully Paid,1,1,1,1,1,1,0,0,96.72,48.15,0
210000.0,Executive Production Director,Verified,"5795 Sean Points Suite 503
Port Anna, PA 70466",INDIVIDUAL,6.23,35000.0,802.29,Fully Paid,1,1,1,1,1,1,0,0,84.33,47.56,0
90000.0,Easton Police Department,Not Verified,"67880 Carlson Meadows Apt. 347
Stacyburgh, MD 22690",INDIVIDUAL,15.95,2175.0,66.79,Fully Paid,1,0,1,0,1,1,0,0,78.82,45.83,1
70800.0,president,Source Verified,"0748 Shawn Garden Suite 041
Theresaland, MA 70466",INDIVIDUAL,5.34,14000.0,462.8,Fully Paid,1,1,1,1,0,1,0,0,93.35,17.97,0
45000.0,Workforce Advantage,Not Verified,"Unit 7175 Box 5801
DPO AE 70466",INDIVIDUAL,28.64,10625.0,386.74,Charged Off,1,1,1,0,1,0,0,1,85.11,,1
51933.0,CDL Bus Driver,Verified,"Unit 4371 Box 0018
DPO AP 05113",INDIVIDUAL,10.33,9500.0,310.98,Fully Paid,1,1,1,1,1,1,0,0,72.58,34.54,0
26000.0,Clark County School District,Not Verified,"USNS Leonard
FPO AA 22690",INDIVIDUAL,23.91,3000.0,107.37,Fully Paid,1,1,1,0,1,1,0,0,96.63,18.71,1
130000.0,Coolwind ventilation corp,Source Verified,"6269 Breanna Island Apt. 153
Port Thomastown, ME 29597",INDIVIDUAL,19.54,18000.0,563.23,Fully Paid,1,1,1,1,1,1,0,0,89.67,25.53,0
75000.0,CAG Professionals,Not Verified,"Unit 8253 Box 4389
DPO AA 29597",INDIVIDUAL,18.0,7750.0,266.13,Fully Paid,1,1,1,1,1,1,0,1,71.1,7.96,0
70000.0,sw,Source Verified,"3480 Robinson Radial Suite 038
Tyronetown, AR 22690",INDIVIDUAL,16.27,8800.0,292.25,Fully Paid,0,1,1,1,1,1,0,0,70.27,25.72,0
88000.0,Speech-Language Pathologist,Not Verified,"9495 Sharon Shore Apt. 907
Valeriefurt, LA 29597",INDIVIDUAL,11.62,11200.0,380.95,Fully Paid,1,1,1,1,1,1,0,0,72.63,5.13,0
40000.0,Truck Driver,Source Verified,"7500 David Shore
Freemanborough, DC 11650",INDIVIDUAL,17.04,17600.0,466.2,Charged Off,1,1,1,0,1,1,0,0,94.66,1.64,0
42000.0,Housekeeping manager,Verified,"841 Sweeney Fords
South Annmouth, CT 29597",INDIVIDUAL,24.03,10000.0,340.18,Fully Paid,1,1,1,1,1,0,0,0,84.44,4.34,0
45000.0,Hewlett Packard,Source Verified,"21563 Cheryl Mews
Lake Wandachester, WY 29597",INDIVIDUAL,24.19,2000.0,68.68,Fully Paid,0,1,1,1,1,1,0,0,80.06,5.66,0
92000.0,Billing Manager,Verified,"Unit 8437 Box 4791
DPO AP 05113",INDIVIDUAL,21.81,24000.0,825.64,Fully Paid,1,1,1,1,1,0,0,0,77.48,49.63,0
107000.0,Lead Account Manager,Source Verified,"USS Stone
FPO AA 11650",INDIVIDUAL,23.35,20000.0,654.68,Charged Off,1,1,1,1,1,1,0,0,85.21,2.82,0
50000.0,branch manager,Not Verified,"755 Hart Court
West Jamie, IL 70466",INDIVIDUAL,16.51,15000.0,505.34,Fully Paid,1,1,1,1,1,1,0,0,72.49,,0
19000.0,sales,Not Verified,"640 Renee Track Apt. 978
Jessicaside, NJ 70466",INDIVIDUAL,13.9,6500.0,212.78,Fully Paid,1,1,1,1,1,0,0,0,88.52,5.66,0
43000.0,clarck county,Not Verified,"859 Tammy View Apt. 335
Jenniferberg, MA 22690",INDIVIDUAL,2.82,6075.0,202.8,Charged Off,0,1,1,1,1,1,0,0,81.42,43.06,0
65000.0,Flight Paramedic,Not Verified,"8896 Lisa Spur
Hollandshire, FL 22690",INDIVIDUAL,31.04,10000.0,338.54,Fully Paid,1,0,1,1,0,1,0,1,95.75,37.92,1
88000.0,Corporate Audit Supervisor ,Source Verified,"756 Jefferson Hill
Thomaston, PA 48052",INDIVIDUAL,8.2,20000.0,461.85,Fully Paid,1,1,1,1,1,1,0,0,92.63,37.54,0
40000.0,Superior Plus Energy Services Inc,Verified,"Unit 4653 Box 8122
DPO AA 00813",INDIVIDUAL,28.89,7000.0,167.68,Fully Paid,1,1,1,1,1,1,0,0,70.55,6.41,0
62000.0,Enforcement Officer,Verified,"331 Anthony Plaza
Port Sylvia, MA 70466",INDIVIDUAL,28.9,21975.0,576.35,Fully Paid,1,1,1,1,1,1,0,0,74.99,23.71,0
31200.0,TEKsystems,Verified,"4736 Moore Manors
West Mark, DE 00813",INDIVIDUAL,20.42,10750.0,264.0,Fully Paid,1,1,1,1,1,1,0,0,84.22,6.21,0
50000.0,Department manager,Not Verified,"524 Stephen Place Apt. 695
Harrisfurt, VA 30723",INDIVIDUAL,21.39,15000.0,498.15,Charged Off,0,1,1,1,1,0,0,0,89.76,,0
130000.0,It project manager,Not Verified,"02244 Wood Dale Apt. 318
South Richardhaven, NE 22690",INDIVIDUAL,26.65,21000.0,661.85,Fully Paid,1,0,0,1,1,1,0,0,91.45,11.77,0
45000.0,TPR Holdings,Not Verified,"374 Robert Knolls
Hammondchester, ME 30723",INDIVIDUAL,18.35,9000.0,301.91,Fully Paid,1,1,1,1,1,1,0,0,94.49,14.61,0
56000.0,Teachers,Not Verified,"46388 Pamela Inlet Apt. 124
Lopezport, ID 48052",INDIVIDUAL,30.24,18000.0,606.41,Fully Paid,1,1,1,1,1,1,0,0,71.48,46.09,0
65000.0,Butcher,Not Verified,"24225 Collins Meadow Suite 170
Reidview, LA 48052",INDIVIDUAL,21.6,25000.0,796.98,Fully Paid,1,1,0,1,0,1,0,0,70.55,10.26,0
140000.0,Great White Pressure Control LLC,Source Verified,"066 Ware Walk Suite 190
Lake Alexandra, PA 48052",INDIVIDUAL,15.04,15000.0,476.3,Fully Paid,1,1,1,1,1,1,0,1,88.02,49.05,0
95000.0,Mechanic / machinist ,Source Verified,"66602 Goodman Meadow Apt. 572
Williamsbury, VT 30723",INDIVIDUAL,19.53,28000.0,889.09,Fully Paid,1,1,1,1,1,1,0,0,91.71,6.76,0
31750.0,pennsylvania grain processing,Not Verified,"68591 Perry Road
Stephaniefurt, TX 05113",INDIVIDUAL,26.76,10000.0,317.54,Fully Paid,1,1,1,1,1,1,0,0,93.6,46.77,0
72800.0,Regulatory Affairs Analyst II,Not Verified,"259 Richard Skyway Suite 353
North Jaredburgh, NE 48052",INDIVIDUAL,9.15,12000.0,401.39,Fully Paid,1,1,1,1,1,1,0,0,74.67,19.76,0
90000.0,Perot Systems,Not Verified,"6635 Alicia Villages
Francisstad, VA 48052",INDIVIDUAL,4.28,5000.0,156.69,Fully Paid,1,1,1,1,1,1,0,0,99.06,15.08,0
60000.0,Foreman 1,Verified,"594 Miller Burg Apt. 568
Torrestown, NV 05113",INDIVIDUAL,13.84,4000.0,123.5,Fully Paid,1,1,1,1,1,1,0,0,76.88,41.03,0
100000.0,Preseident,Source Verified,"300 Harrison Passage Apt. 659
Loganfurt, IN 48052",INDIVIDUAL,15.17,35000.0,1179.12,Fully Paid,1,1,1,1,0,1,0,0,77.51,11.52,0
60000.0,Practice Manager,Verified,"564 Mcgee Roads
Jonestown, OH 70466",INDIVIDUAL,31.04,11500.0,341.4,Fully Paid,1,1,1,1,1,1,0,0,74.63,2.82,0
45000.0,Recidential program specialcity ,Source Verified,"92978 Amanda Shoal Suite 419
Mooreberg, VT 00813",INDIVIDUAL,22.59,9500.0,321.61,Fully Paid,1,1,1,1,1,1,1,1,71.3,41.93,1
50000.0,QC,Source Verified,"44707 Harrington Freeway Apt. 683
Lake Robert, KY 05113",INDIVIDUAL,2.21,5000.0,166.05,Fully Paid,1,1,1,0,0,1,0,0,94.29,35.52,1
60000.0,Aurora Public Schools,Verified,"4261 Carter Orchard Suite 619
West Brooke, KY 30723",INDIVIDUAL,19.22,6250.0,151.96,Fully Paid,0,1,1,1,1,0,0,0,70.17,44.65,1
97200.0,Corys Thunder,Verified,"43350 Vanessa Forge
West Stephanie, RI 22690",INDIVIDUAL,27.53,1000.0,35.94,Fully Paid,1,1,1,1,1,1,0,0,83.91,21.12,0
41000.0,Housekeeper,Verified,"2921 Perez Falls
Rangelborough, MS 22690",INDIVIDUAL,2.1,18425.0,603.13,Fully Paid,0,1,1,1,1,1,0,0,72.76,33.11,0
30000.0,Crowne Plaza Hotel,Source Verified,"0063 Janet Fort Apt. 354
New Davidton, VA 30723",INDIVIDUAL,10.89,8725.0,316.53,Fully Paid,1,1,0,1,1,1,0,0,71.34,33.56,0
46000.0,Shift Manager,Source Verified,"43636 Edwards Springs Suite 576
Hartfort, KS 48052",INDIVIDUAL,26.77,15000.0,494.22,Charged Off,1,1,1,0,1,1,0,0,98.04,17.48,0
140000.0,OGE Enogex Inc,Source Verified,"0052 Catherine Crescent
Nelsonton, HI 22690",INDIVIDUAL,15.87,12000.0,365.23,Fully Paid,1,1,1,0,1,0,0,0,94.76,,0
92000.0,UPS,Source Verified,"46980 Jennifer Lane
West Matthew, DE 70466",INDIVIDUAL,14.37,24000.0,765.99,Fully Paid,1,1,1,1,1,1,0,0,81.85,,0
60000.0,San Luis Obispo County,Source Verified,"0390 Hopkins Corners Suite 555
Johnshire, NC 05113",INDIVIDUAL,20.1,16000.0,508.06,Fully Paid,1,1,1,1,1,1,0,0,83.76,8.38,0
58000.0,Lead Sales and Service Associate,Not Verified,"8519 Alexander Lodge Suite 867
South Scotttown, LA 22690",INDIVIDUAL,19.59,18000.0,452.89,Fully Paid,1,1,1,0,1,1,0,0,96.04,46.68,0
60000.0,High School Science teacher,Source Verified,"1744 Delgado Fall Apt. 028
Jacobport, LA 30723",INDIVIDUAL,10.78,12000.0,366.37,Fully Paid,1,1,1,1,1,1,0,0,93.91,21.91,0
58140.0,Claims Supervisor,Verified,"8122 Fuller Pine
Kristopherburgh, AK 22690",INDIVIDUAL,9.66,1000.0,34.87,Fully Paid,1,1,1,1,1,1,0,0,90.75,33.31,0
96000.0,The Boston Consulting Group,Verified,"01397 Jonathan Station
Adamsville, UT 70466",INDIVIDUAL,7.34,25000.0,355.1,Fully Paid,0,1,1,1,1,1,0,0,86.1,40.12,0
51000.0,Finance ,Verified,"USNV Tran
FPO AA 70466",INDIVIDUAL,22.86,8500.0,289.15,Fully Paid,1,1,1,0,1,0,0,0,88.23,5.48,0
124000.0,Optometrist,Not Verified,"73211 Harris Lake Apt. 616
New Courtney, NH 00813",INDIVIDUAL,22.0,4800.0,166.38,Fully Paid,1,0,1,1,1,1,0,0,81.8,48.8,0
45000.0,Post Modern Group,Not Verified,"388 Ryan Ports Suite 969
Aaronbury, WA 29597",INDIVIDUAL,16.77,2400.0,82.14,Fully Paid,1,1,1,1,1,1,0,0,85.84,29.33,0
60000.0,Federal Bureau Of Prisons,Not Verified,"USCGC Thompson
FPO AA 00813",INDIVIDUAL,8.98,7800.0,243.06,Fully Paid,1,1,1,0,1,1,0,0,86.19,20.69,0
51526.0,The Sherwin Williams Company,Not Verified,"218 Contreras Valley Apt. 364
Pierceport, ME 00813",INDIVIDUAL,21.71,6000.0,187.75,Fully Paid,1,1,1,1,1,1,0,0,95.95,47.37,0
72000.0,acme truck line inc,Source Verified,"29586 Reynolds Village Suite 657
Jacksonton, NC 30723",INDIVIDUAL,7.63,15000.0,469.22,Fully Paid,1,1,1,1,1,1,0,0,76.56,8.87,0
90000.0,Art Teacher,Source Verified,"9944 Ray Mount
New Jackie, UT 22690",INDIVIDUAL,8.73,18000.0,412.61,Charged Off,1,1,1,1,1,1,0,0,77.4,33.95,0
92000.0,HR Asst / Admin Assst,Source Verified,"75073 Jenna Spur Suite 406
East Lauren, WY 11650",INDIVIDUAL,30.37,11200.0,361.34,Charged Off,1,1,1,1,1,1,0,0,76.33,31.97,0
60000.0,Cabo Flats,Verified,"709 Coleman Park
Charlesview, CA 22690",INDIVIDUAL,34.28,23850.0,671.66,Fully Paid,1,1,0,0,0,1,1,0,87.38,33.77,1
35000.0,Sony Electronics,Verified,"898 Gwendolyn Forges
Gonzalesfurt, MT 29597",INDIVIDUAL,8.43,9000.0,324.34,Fully Paid,1,1,1,1,1,1,0,0,90.85,21.96,0
105000.0,Department of Justice,Not Verified,"3759 Castillo Pike Suite 459
Valdezport, IL 30723",INDIVIDUAL,22.8,8500.0,286.85,Fully Paid,1,0,1,1,1,1,0,0,77.16,46.42,0
94000.0,Director,Verified,"66011 Briggs Lights Suite 875
Gregoryville, SC 70466",INDIVIDUAL,22.27,27000.0,821.76,Fully Paid,1,1,1,1,0,0,0,0,90.31,6.47,0
100000.0,Deputy Sheriff,Verified,"69738 Eric Stravenue
Lopezbury, HI 30723",INDIVIDUAL,4.75,20000.0,635.07,Fully Paid,1,1,1,1,1,1,0,0,88.84,25.25,0
91600.0,sr programmer,Source Verified,"890 Nicholas Shore
Port Danielle, SC 48052",INDIVIDUAL,12.94,24000.0,797.03,Fully Paid,1,1,1,0,1,1,0,0,79.63,,1
90000.0,METRO TERMINALS CORP,Verified,"1734 Johnson Mission
Julieville, CA 22690",INDIVIDUAL,24.81,15000.0,527.29,Fully Paid,1,1,1,1,1,1,0,0,76.89,39.29,0
83000.0,Jackson Therapy Partners,Not Verified,"870 Michael Shoal
Buckleytown, NH 70466",INDIVIDUAL,6.53,10000.0,328.06,Fully Paid,1,1,1,1,1,1,0,0,96.45,42.19,0
73000.0,Wipro Limited,Verified,"410 Glenda Rapid Apt. 951
West Katrinashire, IN 05113",INDIVIDUAL,7.15,8000.0,189.95,Fully Paid,1,1,1,1,1,1,0,0,87.09,18.27,0
80800.0,Dedicated Board Operator,Source Verified,"5674 York Mount
New Kellyburgh, GA 30723",INDIVIDUAL,22.1,11000.0,339.5,Fully Paid,1,1,0,1,1,1,0,0,91.12,32.8,0
37000.0,medical biller,Not Verified,"993 Brady Ferry
Parkertown, NV 48052",INDIVIDUAL,18.2,4200.0,135.82,Fully Paid,0,1,1,1,1,1,0,0,97.76,30.6,0
112000.0,Line Mechanic,Not Verified,"1807 Alexander Freeway Suite 744
Michaelland, CT 30723",INDIVIDUAL,15.41,19200.0,427.0,Fully Paid,1,1,1,1,1,1,0,0,76.16,7.14,0
90000.0,Nuclear Trainer,Source Verified,"86220 John Flats
Port Sandra, NY 22690",INDIVIDUAL,22.48,29575.0,755.04,Charged Off,1,1,1,1,1,1,0,0,80.52,8.92,0
75000.0,operator,Verified,"3190 Hughes Brook Suite 272
Smithview, NJ 48052",INDIVIDUAL,28.34,28500.0,819.73,Charged Off,1,1,0,0,1,0,0,0,83.03,15.4,1
980000.0,MD,Source Verified,"4084 Maldonado Crossroad Suite 628
Allisonborough, NJ 29597",INDIVIDUAL,5.96,35000.0,1043.78,Fully Paid,1,1,1,1,1,1,0,1,76.99,21.67,0
43000.0,Ascension Parish School Board,Verified,"505 Turner Summit
West Ronnietown, MN 05113",INDIVIDUAL,16.72,6250.0,151.86,Fully Paid,1,1,1,1,1,1,0,0,95.21,3.67,0
95000.0,Superintendent,Source Verified,"22053 Stewart Forest
West Michelle, CT 00813",INDIVIDUAL,10.97,17000.0,572.72,Fully Paid,1,0,0,1,1,0,0,0,72.5,25.77,1
